AccX [mg],AccY [mg],AccZ [mg],State
-82,-232,1075,0
-210,-218,1030,0
-256,-205,942,0
-179,-255,886,0
23,-307,1105,0
-82,-266,1056,0
-36,-276,1150,0
-102,-296,1093,0
-102,-327,936,0
-123,-305,969,0
-56,-281,1042,0
-71,-305,1021,0
-140,-321,985,0
-196,-254,900,0
-88,-223,1037,0
-58,-199,1190,0
-160,-207,1115,0
-231,-239,948,0
-118,-271,980,0
1,-271,1136,0
0,-230,1194,0
-104,-273,1112,0
-122,-416,920,0
-48,-465,877,0
-10,-343,1035,0
-99,-187,1194,0
-168,-176,1125,0
-54,-271,998,0
16,-302,1003,0
-11,-230,1057,0
-40,-229,1010,0
-43,-175,1023,0
-31,-163,1004,0
-55,-148,1019,0
-34,-160,1076,0
10,-199,1026,0
-31,-207,960,0
-107,-197,967,0
-59,-206,960,0
7,-190,1107,0
18,-230,1036,0
-25,-272,937,0
0,-318,915,0
28,-312,989,0
0,-290,996,0
-8,-259,1098,0
-30,-276,1048,0
-22,-335,946,0
47,-314,994,0
69,-290,1044,0
18,-281,924,0
30,-178,1051,0
41,-68,1239,0
-20,-83,1077,0
-80,-136,928,0
-66,-118,978,0
85,-124,1209,0
108,-135,1087,0
100,-75,1241,0
-88,13,1167,0
-104,-34,1052,0
51,-120,1031,0
116,-125,1055,0
76,-114,1106,0
9,-28,1150,0
29,-4,1099,0
152,77,1336,0
51,143,1334,0
14,53,1167,0
67,-9,1114,0
54,11,1126,0
74,30,1145,0
48,0,1062,0
21,28,1056,0
22,74,1197,0
-98,110,1103,0
-68,24,956,0
41,40,1081,0
133,60,1192,0
66,89,1214,0
-15,90,1136,0
-45,46,945,0
-69,79,981,0
42,92,1079,0
10,58,1011,0
-3,29,981,0
-71,109,1057,0
-87,131,1053,0
-25,144,1139,0
-20,167,1092,0
-91,173,1062,0
-165,129,920,0
-125,124,919,0
-105,196,1071,0
-157,237,1017,0
-222,228,856,0
-223,181,837,0
-150,139,807,0
-107,142,909,0
-190,194,930,0
-213,186,939,0
-241,151,937,0
-163,191,990,0
-119,64,922,0
-260,119,889,0
-286,81,856,0
-186,44,950,0
-128,17,1001,0
-198,36,963,0
-270,50,997,0
-241,-23,895,0
-134,-88,880,0
-193,-101,936,0
-293,-43,898,0
-299,-55,843,0
-243,-169,728,0
-174,-173,894,0
-242,-114,875,0
-204,-108,952,0
-282,-148,785,0
-394,-176,670,0
-473,-246,543,0
-374,-312,562,0
-256,-254,823,0
-305,-161,938,0
-233,-165,1081,0
-192,-246,1012,0
-288,-281,809,0
-295,-290,846,0
-378,-278,732,0
-284,-343,806,0
-265,-333,881,0
-227,-410,674,0
-279,-426,559,0
-323,-457,493,0
-274,-371,659,0
-252,-283,946,0
-127,-391,932,0
-94,-445,883,0
-241,-499,751,0
-390,-427,642,0
-289,-357,739,0
-193,-344,954,0
-131,-444,966,0
-224,-497,744,0
-367,-540,611,0
-187,-512,709,0
-1,-408,1036,0
-150,-323,950,0
-289,-467,689,0
-193,-529,702,0
-132,-461,849,0
-157,-496,780,0
-86,-495,837,0
-86,-342,1021,0
-108,-358,1055,0
-22,-380,959,0
92,-410,1149,0
60,-402,1150,0
-10,-420,1013,0
3,-404,1004,0
52,-359,1169,0
51,-323,1192,0
81,-442,1029,0
115,-452,1057,0
103,-464,1067,0
62,-422,1163,0
68,-352,1198,0
117,-375,1192,0
170,-392,1131,0
119,-381,1046,0
67,-388,987,0
55,-372,975,0
69,-301,1138,0
119,-251,1227,0
32,-250,981,0
-17,-289,759,0
109,-334,804,0
134,-242,1112,0
-39,-147,1099,0
-37,-231,841,0
67,-278,865,0
102,-268,1012,0
47,-85,1245,0
-45,-65,1193,0
37,-231,1013,0
94,-265,1021,0
92,-218,1184,0
48,-174,1141,0
54,-203,1098,0
-34,-117,1205,0
15,-92,1204,0
177,-140,1270,0
115,-160,1237,0
32,-102,1181,0
45,-99,1174,0
89,-106,1153,0
21,-95,1058,0
14,-115,1098,0
56,-143,1056,0
140,-108,1290,0
48,-12,1236,0
23,-45,1204,0
42,-139,1076,0
153,-167,1141,0
142,-120,1145,0
32,-68,1083,0
-8,-84,1033,0
7,-107,960,0
48,-79,1037,0
12,-48,1001,0
-64,-48,911,0
-60,-14,987,0
-76,51,968,0
-102,103,1026,0
-171,139,1075,0
-173,103,1026,0
-81,46,1021,0
-128,43,1014,0
-146,17,963,0
-121,-2,1015,0
-18,-32,1103,0
-65,-31,1126,0
-110,-20,1021,0
-135,-35,897,0
-207,-32,881,0
-231,-2,937,0
-136,53,1148,0
-164,10,1022,0
-250,-45,826,0
-203,-7,925,0
-84,66,1174,0
-127,101,1095,0
-249,136,1066,0
-239,67,887,0
-152,2,832,0
-210,53,891,0
-321,130,876,0
-296,232,944,0
-220,152,1027,0
-172,128,999,0
-216,110,894,0
-299,91,837,0
-320,72,795,0
-259,65,915,0
-252,65,927,0
-283,-49,783,0
-273,-96,653,0
-294,-85,832,0
-358,15,925,0
-350,28,831,0
-274,-107,854,0
-247,-245,707,0
-218,-265,677,0
-289,-206,720,0
-321,-139,747,0
-332,-178,820,0
