T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
157949, -199, -302, -808, -798000, 1570660, 557900
157969, -370, -77, -671, -847560, 1457330, 704900
157989, -331, -50, -723, -976570, 1342390, 732340
158009, -290, -3, -551, -1121470, 1208900, 657650
158029, -130, 59, -528, -1151500, 1072540, 558320
158049, -124, -225, -783, -1066940, 944370, 484050
158069, 945, -31, -1362, -854560, 873880, 509250
158089, -892, 805, -631, -460180, 947240, 528850
158109, -651, 464, -354, 156030, 1473220, 1003170
158129, -1164, -1122, -611, -135170, 1693440, 1264760
158149, -352, -1998, -1997, -756210, 1429820, 1318240
158169, -707, -1721, -337, -1029490, 1476650, 663250
158189, 196, -754, 1250, 460670, 2168250, -199150
158209, 246, -455, -981, 190260, 1702470, -11830
158229, 633, -513, -1155, -1418340, 487340, 66850
158249, 164, -86, -383, -1639610, 271320, -9940
158269, -3, -152, -267, -910420, 574840, 196000
158289, -57, -219, -320, -421890, 493220, 682780
158309, -68, -151, -182, -132790, 469910, 701470
158329, -138, -291, -274, -45290, 480200, 669130
158349, -93, -420, -295, -21280, 507010, 571900
158369, -102, -526, -417, 35210, 557690, 439320
158389, -93, -553, -204, 184800, 683970, 307370
158409, -255, -1376, -22, 198800, 767760, 150010
158429, -64, -1998, 133, 1610, 787570, -175000
158449, 1996, -1998, -1357, -339360, 779240, -749490
158469, 1289, -1498, -359, -360080, 588210, -509250
158489, 26, -974, -53, 176260, 498610, 514920
158509, -211, -735, -18, 108570, 335790, 789950
158529, -124, -714, -200, -184310, 290920, 504630
158549, -66, -597, -170, -342510, 332080, 137550
158569, -10, -613, -257, -334950, 407750, -159600
158589, 83, -590, -350, -224070, 458570, -349510
158609, 233, -393, 29, 30310, 511490, -416500
158629, 471, -570, 142, 250950, 452900, -310310
158649, 729, -1414, -256, 205800, 156940, -19600
158669, 432, -1998, -579, 114660, -168000, 338380
158689, 287, -1998, -401, 88130, -299880, 413630
158709, 407, -920, -101, 35840, -167090, -114730
158729, 450, -494, -84, -46900, -111370, -513450
158749, 323, -669, -286, -100240, -269570, -383600
158769, 171, -747, -211, -20230, -420980, -70980
158789, 43, -852, -184, 144620, -467810, 86450
158809, 21, -984, -225, 235830, -486430, 44590
158829, 248, -1143, -264, 231210, -477120, -154630
158849, 980, -1488, -667, 150990, -453950, -414750
158869, 1142, -1799, -278, 69440, -470890, -523880
158889, 655, -1998, -495, 191310, -522200, -239120
158909, 210, -1807, -319, 293020, -747110, 216510
158929, 146, -1411, -448, 306810, -896910, 310870
158949, 284, -1234, -640, 192570, -928550, 51170
158969, 421, -1270, -683, 81410, -931000, -202090
158989, 535, -1401, -633, 151410, -856170, -325080
159009, 676, -1436, -578, 489090, -731920, -284620
159029, 467, -1379, -454, 559160, -797230, -142800
159049, 220, -1322, -398, 578690, -879620, -61110
159069, 97, -1111, -469, 484190, -968730, -149380
159089, 113, -853, -557, 363370, -1001000, -320530
159109, 162, -699, -619, 326830, -971320, -422870
159129, 196, -655, -592, 417200, -899290, -428820
159149, 193, -680, -457, 565110, -828170, -389900
159169, 169, -716, -312, 656530, -822990, -337820
159189, 159, -741, -299, 603890, -909510, -297780
159209, 206, -820, -432, 446180, -1056720, -240800
159229, 255, -1186, -651, 345450, -1182860, -118230
159249, 214, -1438, -674, 392350, -1215620, -13300
159269, 82, -1176, -439, 486500, -1146320, -79940
159289, 83, -733, -465, 433300, -1085490, -283360
159309, 125, -639, -553, 265860, -1090950, -409570
159329, 199, -704, -602, 208740, -1071980, -389830
159349, 172, -656, -467, 283710, -1005480, -318500
