T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
5192, -1998, -1998, -1997, 1267840, 395220, 66290
5212, -1998, -1998, -1997, 1277570, 479710, 364770
5232, -1998, -1998, -1997, 1142190, 402710, 704340
5252, -1998, -1998, -1997, 870940, 325290, 845110
5272, -1998, -1998, -1997, 583660, 282870, 1035930
5292, -1998, -1998, -1997, 535850, 337400, 1043980
5312, -1998, -1998, -1997, 219870, 485590, 1182790
5332, -1998, -1998, -1997, 73640, 491050, 1137080
5352, -1998, -1998, -1997, -191310, 554540, 990780
5372, -1998, -1998, -1997, -312060, 603330, 1071140
5392, -1998, -1998, -1997, -409920, 974190, 843850
5412, -1998, -1998, -1997, -420210, 1361640, 735140
5432, -1998, -1998, -1997, -280490, 1860320, 287420
5452, -1998, -1998, -1997, -7490, 2032450, -185500
5472, -1998, -1998, -1997, 556850, 1973930, -581000
5492, -1998, -1998, -1997, 1219260, 1881320, -532490
5512, -1998, -1998, -1997, 1827140, 1838830, 22610
5532, -1998, -1998, -1997, 1765400, 1808730, 891870
5552, -1998, -1998, -1997, 1180900, 1744750, 1415260
5572, -1998, -1998, -1997, 451500, 2029650, 1388310
5592, -1998, -1998, -1997, 378140, 2293480, 80780
5612, -1998, -1998, -1997, 956760, 2293480, -552930
5632, -1998, -1998, -1997, 1673770, 2259530, -68250
5652, -1998, -1998, -1997, 2106300, 2166570, 632240
5672, -1998, -1998, -1997, 1356180, 2144730, 1388660
5692, -1998, -1998, -1997, 574420, 2249240, 1513820
5712, -1998, -1998, -1997, 257950, 2293480, 803180
5732, -1998, -1998, -1997, 353710, 2293480, 34580
5752, -1998, -1998, -1997, 1178030, 2293480, -423990
5772, -1998, -1998, -1997, 1905400, 2290680, -106330
5792, -1998, -1998, -1997, 1861230, 2091040, 935130
5812, -1998, -1998, -1997, 1289400, 1911770, 1425830
5832, -1998, -1998, -1997, 415870, 2141230, 1388800
5852, -1998, -1998, -1997, 35490, 2290960, 874090
5872, -1998, -1998, -1997, 267260, 2293480, -79100
5892, -1998, -1998, -1997, 806190, 2247980, -448840
5912, -1998, -1998, -1997, 1533070, 2016910, -374640
5932, -1998, -1998, -1997, 1881250, 1864660, 294000
5952, -1998, -1998, -1997, 1609230, 1563940, 1079820
5972, -1998, -1998, -1997, 918610, 1454390, 1378580
5992, -1998, -1998, -1997, 247100, 1501290, 1351630
6012, -1998, -1998, -1997, -172200, 1681330, 990500
6032, -1998, -1998, -1997, -279790, 2010610, 502180
6052, -1998, -1998, -1997, -96600, 2058070, -170380
6072, -1998, -1998, -1997, 268240, 1852900, -631190
6092, -1998, -1998, -1997, 838460, 1591030, -788690
6112, -1998, -1998, -1997, 1350090, 1433040, -570920
6132, -1998, -1998, -1997, 1767710, 1352890, 22680
6152, -1998, -1998, -1997, 1647520, 1128610, 701960
6172, -1998, -1998, -1997, 1141070, 771190, 1125950
6192, -1998, -1998, -1997, 618450, 570710, 1292970
6212, -1998, -1998, -1997, 225680, 495040, 1290100
6232, -1998, -1998, -1997, -141260, 286160, 1240750
6252, -1998, -1998, -1997, -369880, -35980, 1120210
6272, -1998, -1998, -1997, -442540, -435610, 1084230
