T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
11372, -109, 35, 891, -4690, -15960, 37450
11392, -107, 68, 952, 9100, -7700, 21350
11412, 235, -27, 1215, 18900, -4620, 2660
11432, 38, 57, 1061, 11480, -9310, 6370
11452, 13, 82, 1115, -840, -16800, 16380
11472, -76, 40, 885, -5110, -22750, 5390
11492, 104, 0, 1019, 3360, -19670, -12040
11512, 373, 21, 1463, 21350, -5460, -26740
11532, 6, 66, 948, 1330, -19950, -7490
11552, 55, -6, 959, -19950, -46480, 5320
11572, -130, 45, 812, -9240, -48160, -10010
11592, 334, 9, 1152, 8610, -30660, -21980
11612, 591, -124, 1313, 21070, -20720, -32900
11632, 15, 87, 1003, -6440, -20370, 12600
11652, 79, -48, 883, -26320, -11900, 40530
11672, -96, 70, 982, -12600, 10430, 22050
11692, 48, 67, 1104, 9310, 23590, 7000
11712, 316, -46, 1109, 10570, 20580, -3920
11732, 202, -69, 1031, -5530, 10500, 6510
11752, -107, 42, 895, -21210, -1680, 30520
11772, 88, -20, 972, -17430, 0, 29610
11792, 292, -115, 886, -4760, 3920, 10570
11812, 293, -77, 1051, -4900, -9870, 15470
11832, 203, -101, 908, -9170, -6440, 34510
11852, 156, -53, 947, -15540, -3430, 41090
11872, 47, -62, 984, -6230, 1680, 38430
11892, -141, 12, 1089, 5180, 4130, 32900
11912, -310, 57, 1085, 9450, 30240, 19950
11932, -504, 138, 1161, 5250, 34300, 12040
11952, -525, 133, 1175, -1890, 9590, 16520
11972, -403, 46, 1113, -9450, -7210, 14700
11992, -378, 16, 986, -14980, 490, 910
12012, -277, -24, 962, -12110, 5950, -12320
12032, -219, -58, 924, -7560, 7980, -22050
12052, -52, -89, 1075, 4830, 21000, -27860
12072, 30, -143, 974, 630, 7700, -23520
12092, -31, -95, 1016, -3570, 4690, -15540
12112, -134, -56, 928, -4970, 4060, -10990
12132, -87, -70, 1019, 2100, 3360, -15820
12152, -59, -72, 1015, 4550, 3640, -17360
12172, 100, -104, 1199, 4270, 11480, -17010
12192, -129, -9, 1038, -2520, 14490, -9870
12212, -132, -17, 958, -14910, 2030, -5810
12232, -102, -26, 885, -10850, -3360, -16520
12252, 63, -45, 1156, -140, -6160, -23660
12272, 67, -104, 1069, -3080, -10220, -19810
12292, -46, -56, 1058, -15750, -9450, -9590
12312, -263, 48, 818, -16870, 5460, -5460
12332, 172, -127, 1036, -8050, 9030, -22330
12352, 191, -163, 1094, -4270, -11830, -33530
12372, 167, -168, 1098, -10850, -30590, -17080
12392, -80, -62, 941, -15540, -17220, -2380
12412, -186, 37, 991, -17360, 17500, 2100
12432, 107, -59, 1138, 0, 44450, -21210
12452, 335, -289, 970, 980, 23870, -37030
12472, 132, -149, 1233, -14420, -25620, -17500
12492, -396, 111, 981, -13650, -23100, 9730
12512, -191, 89, 1016, -8540, 26810, 2800
12532, 376, -352, 761, -2660, 54740, -40740
12552, 507, -439, 842, -14210, 24990, -51730
12572, -63, -25, 1192, -3150, -8540, -19880
12592, -133, -95, 785, 19670, 4340, 3010
12612, 125, -74, 1210, 26530, 41160, -21560
12632, 259, -277, 859, 39830, 63280, -45500
12652, 482, -363, 1019, 17150, 23940, -23170
12672, -284, 68, 957, 13020, -17290, 13020
12692, -87, 12, 1026, 18760, -18340, 38780
12712, 16, 22, 1151, 37380, 40460, -5180
